Facility ID,Name,Address,City,State,Zip,Location confidence,Purpose,Operator,Tenant,Location determination,Info source 1,Info source 2,Info source 3,Info source 4,Info source 5,Info source 6,Info source 7,Info source 8,Lat,Long,Date created,Date updated,SizeRank (numeric),Power source,Number of buildings,Cooling source,Facility size (sq ft),Cooling type,Property Size (acres),Project cost,Other info,Status,Status detail,Expected date online,County,Community push-back,Community group website,Information source
601,Microsoft Corporation data center (SAT 80-82),8844 FM1957 (Potranco Rd),San Antonio,TX,78253,High,,Microsoft,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/microsoft-files-for-data-center-campus-outside-san-antonio/,,,,,,,,29.433630,-98.826300,8/5/2025,8/5/2025,1,,,,,,206,,,Unknown,,,,,,Media Monitoring
585,Microsoft data center,~3543 W Loop 1604 N Acc Rd,San Antonio,TX,78253,Medium,,Microsoft,,Google Maps and other sources,https://www.expressnews.com/business/article/san-antonio-microsoft-west-side-data-centers-21061920.php,,,,,,,,29.466960,-98.713400,9/23/2025,9/23/2025,1,,2,,"390,000",,90,,,Proposed,,,,,,Media Monitoring
593,Microsoft data center: SAT14,3545 Wiseman Blvd,San Antonio,TX,78251,High,,Microsoft,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/vantage-buys-two-land-plots-in-san-antonio-texas/,,,,,,,,29.471180,-98.678500,7/28/2025,7/28/2025,1,,,,"350,000",,,$200 million,,Proposed,,,,,,Media Monitoring
594,Microsoft data center: SAT15,3555 Westover Link,San Antonio,TX,78251,High,,Microsoft,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/microsoft-planning-another-data-center-in-san-antonio-texas/,,,,,,,,29.469770,-98.701500,7/28/2025,7/28/2025,1,,,,"245,000",,,$215.9 million,,Proposed,,,,,,Media Monitoring
591,Microsoft data center: SAT46,15000 Lambda Drive,San Antonio,TX,78245,High,,Microsoft,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/vantage-buys-two-land-plots-in-san-antonio-texas/,https://www.datacenterdynamics.com/en/news/vantage-buys-two-land-plots-in-san-antonio-texas/,https://www.datacenterdynamics.com/en/news/vantage-files-to-build-another-data-center-in-san-antonio-texas/,,,,,,29.414270,-98.802900,7/28/2025,10/16/2025,1,,,,"1,000,000",,,$215.9 million,,Operating,,,,,,Media Monitoring
595,MICROSOFT SAN ANTONIO DATA CENTER,5150 ROGERS RD,SAN ANTONIO,TX,78251,High,,Microsoft,,Google Maps and other sources,https://gis-tceq.opendata.arcgis.com/datasets/daece6e3181140f69093ab69cf9ae0ba/explore?layer=0&showTable=true,,,,,,,,29.478430,-98.693000,8/5/2025,8/5/2025,1,,,,,,,,EMERG POWER GENERATOR,Operating,,,,,,Media Monitoring
596,MICROSOFT SAN ANTONIO DATA CENTER,5150 ROGERS RD,SAN ANTONIO,TX,78251,High,,Microsoft,,Google Maps and other sources,https://gis-tceq.opendata.arcgis.com/datasets/daece6e3181140f69093ab69cf9ae0ba/explore?layer=0&showTable=true,,,,,,,,29.478430,-98.693000,8/5/2025,8/5/2025,1,,,,,,,,FULLY REGULATED,Operating,,,,,,Media Monitoring
605,NSA Texas Cryptology Center,Sony Pl,San Antonio,TX,78251,High,,,,Google Maps only,,,,,,,,,29.447240,-98.642100,8/5/2025,8/5/2025,1,,,,,,,,,Approved/Permitted/Under construction,,,,,,Media Monitoring
600,QTS San Antonio,8535 Potranco Rd,San Antonio,TX,78251,High,,,,Google Maps only,,,,,,,,,29.448620,-98.650900,8/5/2025,8/5/2025,1,,,,,,,,,Operating,,,,,,Media Monitoring
602,Stream data center,"9550 Westover Hills Blvd, San Antonio, TX",San Antonio,TX,78251,High,,,,Google Maps only,,,,,,,,,29.471770,-98.671600,8/5/2025,8/5/2025,1,,,,,,,,,Operating,,,,,,Media Monitoring
